,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
7000,35,Feb 82,C. Leudesdorf,,,,,25
7001,35,Feb 82,T. Woodcock,"T. Woodcock
E. Rutter","36
36","Feb 83
Feb 83","39
39",41
7002,35,Mar 82,J.J. Sylvester,"J.J. Sylvester
W.J.C. Sharp","35
35","Jun 82
Jun 82","37
37",10
7003,35,Mar 82,R. Townsend,,,,,44
7004,35,Mar 82,C.B.S. Cavallin,,,,,13
7005,35,Mar 82,J. Wolstenholme,"G. Heppel
F.P. Matz","35
35","May 82
May 82","37
37",44
7006,35,Mar 82,A.M. Nash,"R. Townsend
F.P. Matz","35
35","Sep 82
Sep 82","38
38",45
7007,35,Mar 82,W.H.H. Hudson,"W.H. Blythe
A.H. Curtis","35
35","Jun 82
Jun 82","37
37",17
7008,35,Mar 82,J.C. Malet,"J. Wolstenholme
W.H. Blythe","xx
xx","xx
xx","37
37",51
7009,35,Mar 82,Editor,"T.R. Terry
W.H. Blythe","35
35","May 82
May 82","37
37",13
7010,35,Mar 82,J.J. Walker,J.J. Walker,35,May 82,37,31
7011,35,Mar 82,T.P. Kirkman,,,,,46
7012,35,Mar 82,"J.J. Walker
[Amended ET Apr 82]","T.R. Terry
J. Wolstenholme","35
35","Aug 82
Aug 82","38
38",86
7013,35,Mar 82,G.F. Walker,"J. Wolstenholme
R. Knowles","xx
xx","xx
xx","37
37",48
7014,35,Mar 82,J. Hammond,,,,,8
7015,35,Mar 82,W.J.C. Sharp,W.J.C. Sharp,35,Jul 82,38,45
7016,35,Mar 82,C.J. Monro,,,,,8
7017,35,Mar 82,T. Muir,,,,,22
7018,35,Mar 82,W.R.W. Roberts,R. Townsend,35,Sep 82,38,44
7019,35,Mar 82,W.S.B. Woolhouse,,,,,13
7020,35,Mar 82,R. Tucker,"J. Wolstenholme
J. O’Regan","35
35","May 82
May 82","37
37",84
7021,35,Mar 82,W. Nichols,"J.S. Jenkins
J. O’Regan","35
35","Oct 82
Oct 82","38
38",41
7022,35,Mar 82,H.G. Day,"H.G. Day
Belle Easton","35
35","Sep 82
Sep 82","38
38",79
7023,35,Mar 82,W.A. Whitworth,"G. Heppel
Charlotte A. Scott","35
35","Sep 82
Sep 82","38
38",46
7024,35,Mar 82,J. Macleod,"G. Eastwood
E. Rutter","35
35","May 82
May 82","37
37",41
7025,35,Mar 82,W.A. Pick,"C. Hammond
G. Eastwood","35
35","Oct 82
Oct 82","38
38",9
7026,35,Apr 82,Sir James Cockle,Sir James Cockle,38,Feb 85,43,9
7027,35,Apr 82,J.J. Sylvester,,,,,10
7028,35,Apr 82,R. Townsend,"R.W. Genese
Christine Ladd","35
35","Jun 82
Jun 82","37
37",44
7029,35,Apr 82,J.C. Malet,"Dr. Curtis
W.H. Blythe","35
35","Jun 82
Jun 82","37
37",46
7030,35,Apr 82,Asaph Hall,,,,,6
7031,35,Apr 82,C.B.S. Cavallin,,,,,14
7032,35,Apr 82,Prof. Johnson,"R.W. Genese
F.P. Matz","35
35","Aug 82
Aug 82","38
38",41
7033,35,Apr 82,W.H.H. Hudson,"W.H. Blythe
J. Hammond","36
36","Feb 83
Feb 83","39
39",17
7034,35,Apr 82,Editor,"W.H. Blythe
F.P. Matz","36
36","May 83
May 83","39
39",46
7035,35,Apr 82,Elizabeth Blackwood,,,,,13
7036,35,Apr 82,R. Tucker,"J.S. Jenkins
Sarah Marks","36
36","Sep 83
Sep 83","40
40",52
7037,35,Apr 82,W.R.W. Roberts,"W.H. Blythe
E. Rutter","36
36","Feb 83
Feb 83","39
39",17
7038,35,Apr 82,R.A. Roberts,,,,,17
7039,35,Apr 82,T.C. Simmons,"J. Hammond
T. Woodcock","35
35","Dec 82
Dec 82","38
38",44
7040,35,Apr 82,T.R. Terry,W.J.C. Sharp,37,May 84,41,6
7041,35,Apr 82,W.J.C. Sharp,W.J.C. Sharp,xx,xx,38,79
7042,35,Apr 82,J. Griffiths,"T.R. Terry
Sarah Marks","35
35","Jun 82
Jun 82","37
37",9
7043,35,Apr 82,J. Hammond,"J. Hammond
T. Woodcock","35
35","Dec 82
Dec 82","38
38",44
7044,35,Apr 82,G.F. Walker,,,,,17
7045,35,Apr 82,Dr. Curtis,"J. Young
Dr. Curtis","35
35","Sep 82
Sep 82","38
38",45
7046,35,Apr 82,S. Constable,"S.N. Willis
W.H. Blythe","35
35","Jun 82
Jun 82","37
37",41
7047,35,Apr 82,R. Russell,"R. Russell
D. Eastwood","36
36","Jan 83
Jan 83","39
39",22
7048,35,Apr 82,A.H. Curtis,"J. Young
Robert Rawson","35
35","Jul 82
Jul 82","38
38",48
7049,35,Apr 82,T. Woodstock,"R. Rawson
R. Knowles","35
35","Jun 82
Jun 82","37
37",61
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
7050,35,Apr 82,D. Edwardes,W.J.C. Sharp,xx,xx,47,41
7051,35,May 82,J.J. Sylvester,,,,,23
7052,35,May 82,R. Townsend,,,,,44
7053,35,May 82,J. Wolstenholme,J. Wolstenholme,xx,xx,55,41
7054,35,May 82,J.C. Malet,"T. Woodcock
J. O’Regan","35
35","Aug 82
Aug 82","38
38",46
7055,35,May 82,C.B.S. Cavallin,"J. Hammond
G.G. Morrice","35
35","Dec 82
Dec 82","38
38",6
7056,35,May 82,Editor,,,,,13
7057,35,May 82,J. Griffiths,"D. Edwardes
J. Griffiths","36
36","Dec 83
Dec 83","40
40",6
7058,35,May 82,J.J. Walker,"J. Hammond
T. Woodcock","35
35","Dec 82
Dec 82","38
38",45
7059,35,May 82,Elizabeth Blackwood,,,,,13
7060,35,May 82,R. Tucker,"R. Knowles
J. Hammond","36
36","Mar 83
Mar 83","39
39",48
7061,35,May 82,J. Hammond,"D. Edwardes
J. O’Regan","xx
xx","xx
xx","38
38",6
7062,35,May 82,R. Russell,,,,,41
7063,35,May 82,R.F. Scott,"Emma Essennell
E. Rutter","35
35","Aug 82
Aug 82","38
38",2
7064,35,May 82,G.F. Walker,,,,,46
7065,35,May 82,R.A. Roberts,,,,,17
7066,35,May 82,A. Macfarlane,A. Macfarlane,36,Jan 83,39,10
7067,35,May 82,W.S. McCay,J. Wolstenholme,35,Dec 82,38,47
7068,35,May 82,W.J.C. Sharp,"Emma Essennell
J.S. Jenkins","35
35","Aug 82
Aug 82","38
38",9
7069,35,May 82,D. Edwardes,"W.H. Blythe
W.M. Coates
W.J.C. Sharp","35
35
xx","Oct 82
Oct 82
xx","38
38
47",41
7070,35,May 82,D. Biddle,,,,,41
7071,35,May 82,T.C. Simmons,"T.C. Simmons
D. Eastwood","xx
xx","xx
xx","39
39",44
7072,35,May 82,Ath Bigah Bhut,"W.H. Blythe
Belle Easton","xx
xx","xx
xx","40
40",25
7073,35,Jun 82,J.J. Sylvester,"W.J.C. Sharp
Belle Easton","35
35","Aug 82
Aug 82","38
38",44
7074,35,Jun 82,A. Mannheim,"W.J.C. Sharp
Christine Ladd","36
36","Jan 83
Jan 83","39
39",6
7075,35,Jun 82,J. Wolstenholme,J. Wolstenholme,36,Feb 83,39,45
7076,35,Jun 82,R. Townsend,R. Townsend,36,Aug 83,40,46
7077,35,Jun 82,G.M. Minchin,"R. Townsend
T. Woodcock","35
35","Aug 82
Aug 92","38
38",17
7078,35,Jun 82,C.B.S. Cavallin,,,,,14
7079,35,Jun 82,Editor,"J. Wolstenholme
Kate Gale","35
35","Aug 82
Aug 82","38
38",22
7080,35,Jun 82,Elizabeth Blackwood,,,,,13
7081,35,Jun 82,T.P. Kirkman,T.P. Kirkman,xx,xx,39,10p
7082,35,Jun 82,R.A. Roberts,,,,,25
7083,35,Jun 82,A. Macfarlane,"A. Macfarlane
J.L. Kitchin","36
36","Apr 83
Apr 83","39
39",3
7084,35,Jun 82,J. Griffiths,"D. Edwardes
J. O’Regan","36
36","Jan 83
Jan 83","39
39",44
7085,35,Jun 82,J.J. Walker,,,,,66
7086,35,Jun 82,G.F. Walker,"T. Woodcock
D. Edwardes","xx
xx","xx
xx","38
38",46
7087,35,Jun 82,G.S. Carr,G.S. Carr,36,Jun 83,39,16
7088,35,Jun 82,R.F. Scott,,,,,46
7089,35,Jun 82,R. Tucker,,,,,44
7090,35,Jun 82,J. Young,,,,,8
7091,35,Jun 82,W.J.C. Sharp,W.J.C. Sharp,xx,xx,39,9
7092,35,Jun 82,R. Russell,W.J. Greenstreet,xx,xx,75,44
7093,35,Jun 82,H.L. Orchard,"J.L. Kitchin
C. Morgan","35
35","Oct 82
Oct 82","38
38",48
7094,35,Jun 82,D. Edwardes,"E. Morgan
R. Knowles","35
35","Sep 82
Sep 82","38
38",41
7095,35,Jun 82,J. Hammond,"D. Edwardes
J. O’Regan","xx
xx","xx
xx","38
38",6
7096,35,Jun 82,R. Knowles,"J.L. Kitchin
Christine Ladd","35
35","Sep 82
Sep 82","38
38",10
7097,35,Jun 82,J. O’Regan,,,,,8
7098,35,Jun 82,C.K. Pillai,,,,,41
7099,35,Jun 82,"Asûtosh Mukhopâdhyây
Editor","J. Wolstenholme
A.M. Nash
Franz Rogel (gs)","36
36
43","Jan 83
Jan 83
Nov 90","39
39
54",61
,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
7100,35,Jul 82,J.J. Sylvester,,,,,25
7101,35,Jul 82,R. Townsend,R. Townsend,36,Jan 83,39,46
7102,35,Jul 82,J. Wolstenholme,,,,,44
7103,35,Jul 82,F.P. Matz,,,,,14
7104,35,Jul 82,W.S. Burnside,"J. Wolstenholme
J.W. Sharpe","35
35","Nov 82
Nov 82","38
38",51
7105,35,Jul 82,G.M. Minchin,"D. Edwardes
G. Eastwood","35
35","Nov 82
Nov 82","38
38",11
7106,35,Jul 82,W.H.H. Hudson,"J.W. Sharpe
Charlotte Scott","xx
xx","xx
xx","38
38",17
7107,35,Jul 82,J.C. Malet,"G.G. Morrice
Sarah Marks","35
35","Nov 82
Nov 82","38
38",22
7108,35,Jul 82,Editor,"J.W. Sharpe
Sarah Marks","35
35","Sep 82
Sep 82","38
38",4
7109,35,Jul 82,J.J. Walker,"J.W. Sharpe
F.P. Matz","xx
xx","xx
xx","38
38",17
7110,35,Jul 82,G.F. Walker,,,,,20
7111,35,Jul 82,W. Nicholls,,,,,18
7112,35,Jul 82,R.F. Scott,"J.W. Sharpe
E. Rutter","36
36","Jan 83
Jan 83","39
39",41
7113,35,Jul 82,R. Russell,,,,,44
7114,35,Jul 82,J. Hammond,"G.G. Morrice
Sarah Marks","xx
xx","xx
xx","38
38",25
7115,35,Jul 82,A. McMurchy,"J. O’Regan
J.W. Sharpe","36
36","Jan 83
Jan 83","39
39",41
7116,35,Jul 82,W.J.C. Sharp,"J.W. Sharpe
Belle Easton","35
35","Dec 82
Dec 82","38
38",16
7117,35,Jul 82,R. Knowles,"Belle Easton
J.W. Sharpe","xx
xx","xx
xx","38
38",9
7118,35,Jul 82,D. Edwardes,"J.W. Sharpe
R. Knowles","xx
xx","xx
xx","38
38",48
7119,35,Jul 82,Asûtosh Mukhopâdhyây,,,,,44
7120,35,Jul 82,T.P. Kirkman,T.P. Kirkman,xx,xx,39,10
7121,35,Aug 82,J.J. Sylvester,,,,,25
7122,35,Aug 82,R. Townsend,R. Townsend,36,Jun 83,39,41
7123,35,Aug 82,J. Wolstenholme,,,,,46
7124,35,Aug 82,R.W. Genese,"E.W. Symons
A. McMurchy
A.H. Nash","35
35
xx","Nov 82
Nov 82","38
xx
38",4
7125,35,Aug 82,J. Wolstenholme,"W.J.C. Sharp
F.P. Matz","36
36","Jan 83
Jan 83","39
39",61
7126,35,Aug 82,J. Wolstenholme,J. Wolstenholme,xx,xx,40,86
7127,35,Aug 82,W.H.H. Hudson,,,,,18
7128,35,Aug 82,Editor,,,,,22
7129,35,Aug 82,T.P. Kirkman,,,,,46
7130,35,Aug 82,J.J. Walker,"T.R. Terry
A.H. Curtis
J.F.W. Scheffer","35
35
xx","Nov 82
Nov 82
xx","38
xx
38",3
7131,35,Aug 82,W.J.C. Sharp,W.J.C. Sharp,xx,xx,49,17
7132,35,Aug 82,W. Nichols,A. Mukhopâdhyây,xx,xx,43,17
7133,35,Aug 82,G. Richardson,"R.W. Genese
M. Jenkins","35
35","Oct 82
Oct 82","38
38",41
7134,35,Aug 82,R.F. Scott,"R. Knowles
E.W. Symons","35
35","Nov 82
Nov 82","38
38",41
7135,35,Aug 82,D. Edwardes,"D. Edwardes
Elizabeth Blackwood","35
35","Nov 82
Nov 82","38
38",13
7136,35,Aug 82,T. Woodcock,"E.W. Symons
Christine Ladd","35
35","Nov 82
Nov 82","38
38",48
7137,35,Aug 82,R. Knowles,"T.R. Terry
J. O’Regan","35
35","Dec 82
Dec 82","38
38",61
7138,35,Aug 82,G.M. Morrice,"G.G. Morrice
A.M. Nash","xx
xx","xx
xx","40
40",41
7139,35,Aug 82,A. McMurchy,"Prof Mukhopadhyay
N. Sarkar","xx
xx","xx
xx","55
55",61
7140,35,Aug 82,Asutosh Mukhopâdhyây,,,,,17
7141,35,Aug 82,R. Tucker,"T.R. Terry
J. O’Regan","35
35","Oct 82
Oct 82","38
38",41
7142,35,Aug 82,P.A. MacMahon,"P.A. MacMahon
J.S. Jenkins
T.R. Terry
Christine Ladd","35
35
xx
xx","Nov 82
Nov 82
xx
xx","38
38
38
38",12
7143,35,Sep 82,J.J. Sylvester,J.J. Sylvester,36,Jul 83,xx,9
7144,35,Sep 82,R. Townsend,R. Townsend,36,Nov 83,40,79
7145,35,Sep 82,Prof. Wolstenholme,,,,U57,45
7146,35,Sep 82,R.W. Genese,"B. Reynolds
A.M. Nash","37
37","Nov 84
Nov 84","42
42",41
7147,35,Sep 82,W.H.H. Hudson,"A.H. Curtis
W.J.C. Sharp","35
35","Nov 82
Nov 82","38
38",79
7148,35,Sep 82,Prof. Wolstenholme,"Dr. Curtis
F.P. Matz","35
35","Nov 82
Nov 82","38
38",44
7149,35,Sep 82,Prof. Wolstenholme,,,,,48
,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
7150,35,Sep 82,F.P. Matz,,,,,14
7151,35,Sep 82,Editor,D. Biddle,38,Apr 85,43,8
7152,35,Sep 82,T.P. Kirkman,,,,,46
7153,35,Sep 82,R.F. Scott,"J.P. Johnston
J.S. Jenkins","35
35","Nov 82
Nov 82","38
38",44
7154,35,Sep 82,G. Richardson,"J.P. Johnston
J. O’Regan","36
36","Jul 83
Jul 83","40
40",41
7155,35,Sep 82,T. Woodcock,T. Woodcock,xx,xx,41,15
7156,35,Sep 82,A. McMurchy,A. McMurchy,xx,xx,45,6
7157,35,Sep 82,D. Edwardes,,,,,14
7158,35,Sep 82,W.J.C. Sharp,"A.H. Curtis
W.J.C. Sharp
Mary S. Meyer","35
35
xx","Nov 82
Nov 82
xx","38
xx
38",17
7159,35,Sep 82,R. Knowles,"J.S. Jenkins
Sarah Marks","xx
xx","xx
xx","41
41",48
7160,35,Sep 82,J. Griffiths,"J.J. Walker
W.M. Mee","35
35","Oct 82
Oct 82","38
38",86
7161,35,Sep 82,G.S. Carr,,,,,11
7162,35,Sep 82,H.L. Orchard,"G.B.M. Zerr
H.W. Curjel
Prof. Mukhopadhyay","46
xx
xx","Oct 93
xx
xx","60
59
60",17
7163,35,Sep 82,Asûtosh Mukhopâdhyây,,,,U57,16
7164,35,Oct 82,"J.J. Sylvester
[Withdrawn ET Jan 83]",,,,U45,10
7165,35,Oct 82,J. Wolstenholme,,,,U57,89
7166,35,Oct 82,R. Townsend,R. Townsend,36,May 83,39,17
7167,35,Oct 82,G.M. Minchin,J.J. Walker,36,Jan 83,39,17
7168,35,Oct 82,R.W. Genese,,,,,25
7169,35,Oct 82,W.H.H. Hudson,"W.H. Blythe
H.K. Moore
T.R. Terry
J. Young","35
35
xx
xx","Dec 82
Dec 82
xx
xx","38
38
47
47",31
7170,35,Oct 82,Editor,D. Biddle,37,Aug 84,42,8
7171,35,Oct 82,E.W. Symons,"H.L. Orchard
J.S. Jenkins","36
36","Jan 83
Jan 83","39
39",62
7172,35,Oct 82,Capt. P.A. MacMahon,,,,,44
7173,35,Oct 82,G.S. Carr,,,,,6
7174,35,Oct 82,W.J.C. Sharp,W.J.C. Sharp,xx,xx,44,23
7175,35,Oct 82,G.G. Morrice,"G. Turriff
W.M. Mee","36
36","Jan 83
Jan 83","39
39",46
7176,35,Oct 82,R.F. Scott,"A.H. Curtis
J. O’Regan","xx
xx","xx
xx","38
38",44
7177,35,Oct 82,J. Hammond,H.W. Curjel,xx,xx,59,6
7178,35,Oct 82,W.J.C. Sharp,"F.P. Matz
A.M. Nash","41
41","Jan 88
Jan 88","49
49",79
7179,35,Oct 82,G. Richardson,"W.H. Blythe
R. Knowles
G. Richardson","36
36
xx","Jan 83
Jan 83
xx","39
39
39",41
7180,35,Oct 82,A. McMurchy,"W.H. Blythe
Sarah Marks","xx
xx","xx
xx","38
38",46
7181,35,Oct 82,H.L. Orchard,"C. Morgan
R. Knowles","36
36","Jan 83
Jan 83","39
39",41
7182,35,Oct 82,R. Knowles,S. Sircom,xx,xx,59,51
7183,35,Oct 82,Asûtosh Mukhopâdhyây,,,,U57,17
7184,35,Oct 82,D. Edwardes,,,,U57,6
7185,35,Oct 82,Morgan Jenkins,Morgan Jenkins,36,May 83,39,41
